isChapter, link, compareLink, text, isChildLink, similarityRatio, containsChapter, endsWithNumber
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-138,chapter/return-of-immortal-emperor/chapter-138,#138 - Chapter 13810-22-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-137,chapter/return-of-immortal-emperor/chapter-137,#137 - Chapter 13710-22-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-136,chapter/return-of-immortal-emperor/chapter-136,#136 - Chapter 13610-22-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-135,chapter/return-of-immortal-emperor/chapter-135,#135 - Chapter 13510-20-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-134,chapter/return-of-immortal-emperor/chapter-134,#134 - Chapter 13410-07-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-133,chapter/return-of-immortal-emperor/chapter-133,#133 - Chapter 13310-07-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-132,chapter/return-of-immortal-emperor/chapter-132,#132 - Chapter 13210-07-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-131,chapter/return-of-immortal-emperor/chapter-131,#131 - Chapter 13110-07-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-130,chapter/return-of-immortal-emperor/chapter-130,#130 - Chapter 13010-07-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-129,chapter/return-of-immortal-emperor/chapter-129,#129 - Chapter 12910-07-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-128,chapter/return-of-immortal-emperor/chapter-128,#128 - Chapter 12810-07-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-127,chapter/return-of-immortal-emperor/chapter-127,#127 - Chapter 12710-07-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-126,chapter/return-of-immortal-emperor/chapter-126,#126 - Chapter 12610-07-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-125,chapter/return-of-immortal-emperor/chapter-125,#125 - Chapter 12510-07-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-124,chapter/return-of-immortal-emperor/chapter-124,#124 - Chapter 12410-07-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-123,chapter/return-of-immortal-emperor/chapter-123,#123 - Chapter 12310-07-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-122,chapter/return-of-immortal-emperor/chapter-122,#122 - Chapter 12210-07-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-121,chapter/return-of-immortal-emperor/chapter-121,#121 - Chapter 12110-07-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-120,chapter/return-of-immortal-emperor/chapter-120,#120 - Chapter 12010-07-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-119,chapter/return-of-immortal-emperor/chapter-119,#119 - Chapter 11910-07-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-118,chapter/return-of-immortal-emperor/chapter-118,#118 - Chapter 11810-07-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-117,chapter/return-of-immortal-emperor/chapter-117,#117 - Chapter 11710-07-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-116,chapter/return-of-immortal-emperor/chapter-116,#116 - Chapter 11610-07-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-115,chapter/return-of-immortal-emperor/chapter-115,#115 - Chapter 11510-07-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-114,chapter/return-of-immortal-emperor/chapter-114,#114 - Chapter 11410-07-2020,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-113,chapter/return-of-immortal-emperor/chapter-113,#113 - Chapter 11310-07-2020,true,0.8103975535168195,true,true
